Order_Number,Order_Status,Missed_LPNs
601996539970726,Perfect,
601996669985603,Perfect,
601996689986244,Short,00100854129313693010
601996709986264,Perfect,
601996779986311,Perfect,
601996819986329,Short,00100854129313676280
602002199995064,Perfect,
602013529961396,Perfect,
602013799995523,Short,00100854128238997135
602014109962459,Perfect,
602014729963122,Short,00100854129313653076
602015949984708,Short,00100854129313683868
602016499986721,Perfect,
602016509986721,Perfect,
602016579984403,Perfect,
602017399983991,Perfect,
602019329978437,Short,00100854129313116656
602025309996173,Perfect,
602025329996174,Short,00100854129314152769
602027489995655,Perfect,
602031639996482,Short,00100854129313683905
602034389939808,Perfect,
602034929996719,Short,00100854129313693072
602045269997499,Perfect,
602045399888994,Perfect,
602046679997768,Perfect,
602093169999583,Short,"00100854129314736105, 00100854129314736112"
602095319999646,Perfect,
6021013510000213,Short,00100854129313843422
602111999985603,Perfect,
602112179986717,Short,00000000000023207515
602112199986734,Perfect,
6021150010001756,Perfect,
602117329985998,Perfect,
602117349986689,Perfect,
602118289986576,Perfect,
6021663210004817,Perfect,
602180089990340,Perfect,
6021890910007913,Short,00100854129313842791
6021910810008073,Perfect,
6022737910013915,Short,"00100854129313842814, 00100854129314155265"
6022738010013917,Short,"00100854129313842692, 00100854129313842708, 00100854129313842715"
6022741710013931,Short,"00100854129313842760, 00100854129313842777, 00100854129313842753"
6022742410013934,Short,"00100854129313842722, 00100854129313842739, 00100854129313842746"
6022742610013936,Perfect,
6022742710013936,Short,00100854129313692853
6022742910013936,Perfect,
6022743110013936,Perfect,
6022743510013939,Perfect,
6022744610013944,Perfect,
6022745010013944,Perfect,
6022745110013944,Perfect,
6022747810013951,Perfect,
6022747910013950,Perfect,
6022748010013952,Perfect,
6022748210013956,Perfect,
6022748510013954,Perfect,
6022750410013969,Perfect,
6022750810013970,Perfect,
6022751610013978,Perfect,
6022751710013976,Perfect,
6022751810013974,Perfect,
6022752510013980,Short,"00100854129313842944, 00100854129313842937"
6022752610013981,Short,"00100854129314155296, 00100854129313842876"
6022752810013983,Short,"00100854129314155111, 00100854129313842890, 00100854129313842906"
6022753010013984,Short,"00100854129314155302, 00100854129313842913, 00100854129313842920"
6022753110013985,Short,"00100854129314155999, 00100854129314155982, 00100854129314156002"
6022753410013988,Short,"00100854129313842968, 00100854129313842982"
6022754310013992,Short,00100854129313657029
6022755210014035,Perfect,
6022755910014036,Perfect,
6022756310014038,Perfect,
6022757010014050,Short,"00100854129313875669, 00100854129313842562"
6022757310014051,Short,00100854129313657005
6022757410014048,Perfect,
6022757610014054,Short,"00100854129313842845, 00100854129313842821, 00100854129313842869, 00100854129313842838"
6022757910014059,Short,"00100854129313842470, 00100854129313842487, 00100854129313842456"
6022758010014060,Perfect,
6022758310014063,Short,"00100854129313842609, 00100854129313842616"
6022758710014064,Perfect,
6022760710014074,Short,00100854129313842500
6022760810014075,Short,"00100854129313842661, 00100854129313842630, 00100854129313842654, 00100854129313842647"
6022760910014076,Perfect,
6022761710014080,Short,"00100854129313656985, 00100854129313656978"
6022762110014082,Short,"00100854129314154916, 00100854129313842685"
6022762210014083,Short,"00100854129313842593, 00100854129313842586, 00100854129313875683"
6022762310014084,Short,"00100854129313842524, 00100854129313842531, 00100854129313842548"
6022764010014091,Short,00100854129313694635
6022764110014097,Perfect,
6022764510014099,Perfect,
6022767610014722,Perfect,
602280259987836,Short,00100854129313693164
602280269987837,Perfect,
602280359987536,Short,00100854129313654363
602280479987851,Perfect,
602280549986725,Perfect,
602286509855766,Perfect,
602286779983683,Perfect,
6022872210015080,Perfect,
6022879410015088,Perfect,
602288119811824,Short,00100854129313694932
602288179868526,Perfect,
602288189868640,Perfect,
602288249928385,Perfect,
6022884510003374,Perfect,
602294459973310,Perfect,
602296849995523,Perfect,
6023006210015516,Perfect,
6023016010015564,Short,00100854129313694642
602302299971740,Short,00100854129313626032
602324819863322,Perfect,
6023354010016460,Perfect,
602336199858797,Perfect,
602344049987859,Perfect,
602345099988102,Perfect,
6023462810016838,Perfect,
602346339988112,Short,00100854129313845150
602347329988115,Perfect,
6023476610016875,Perfect,
602347719988117,Short,00100854129313844894
602347939988122,Perfect,
602348359988131,Perfect,
602349459815002,Perfect,
602349539988248,Perfect,
602349839847332,Perfect,
602354409989071,Perfect,
602357609993691,Short,00100854129313655490
6023596310017128,Perfect,
602361319810810,Perfect,
6023628010017249,Perfect,
6023645910017283,Perfect,
602365889928660,Perfect,
6023838210018412,Perfect,
602388009808225,Perfect,
602388109755530,Perfect,
6023938410018582,Perfect,
6023953910018499,Perfect,
6024124210019337,Perfect,
602428969928416,Perfect,
6024605910027006,Perfect,
6024620610027118,Short,00100854129313699807
6024622010027133,Perfect,
6024747110028767,Short,00100854128238997104
6024777610017932,Perfect,
6025081410029959,Short,"00100854129313875751, 00100854129313875768, 00100854129313875775"
6025084410030000,Short,"00100854129313875881, 00100854129313875874, 00100854129313875867"
6025085410030014,Short,"00100854129313875911, 00100854129313875928, 00100854129313875904"
6025086010030024,Perfect,
6025086310030030,Short,"00100854129313875805, 00100854129313875799, 00100854129313875812"
6025086510030035,Perfect,
6025091110030060,Perfect,
6025092110030111,Short,"00100854129313843118, 00100854129313843095, 00100854129313843101"
6025093110030117,Short,"00100854129313699708, 00100854129313699715, 00100854129313699739, 00100854129313699722"
6025095010030138,Short,"00100854129313875959, 00100854129313875942, 00100854129313875966"
6025098810030177,Perfect,
6025102010030191,Short,"00100854129313875850, 00100854129313875843, 00100854129313875836"
6025104110030205,Short,"00100854129314155845, 00100854129314155869, 00100854129314155852"
